effective_canonical_key,mountain_name,aliases,provinces,altitude_m,existing_latitude,existing_longitude,query_names,unresolved_reasons
aerjin-shan,阿尔金山主峰,,甘肃省,5828,39.35,94.1,阿尔金山主峰,coordinate_precision_below_4dp;source_elevation_missing
ailao-shan,哀牢山,,云南省,3166,24,101.5,哀牢山,coordinate_precision_below_4dp;source_elevation_missing
animaqing-feng,阿尼玛卿峰,,青海省,6282,34.8,99.4,阿尼玛卿峰,no_exact_peak_candidate_found
bagong-shan,八公山,,安徽省,241.2,32.6,116.8,八公山,coordinate_precision_below_4dp
baicaopan,野三坡白草畔,,河北省,1983,39.7,115.5,野三坡白草畔,source_elevation_missing
baima-xueshan-zhalaqueni-feng,白马雪山扎拉雀尼峰,,云南省,5429,28.3,99,白马雪山扎拉雀尼峰,no_exact_peak_candidate_found
baizhang-ling,百丈岭,,浙江省,1334,30.25,119,百丈岭,source_elevation_missing
baxian-shan,八仙山,,天津市,1052,40.1833,117.5,八仙山,candidate_country_inconsistent;province_mismatch;source_elevation_mismatch
beiling-shan,北灵山,,北京市,1922,39.9781,115.5028,北灵山,province_mismatch;source_elevation_missing
beiwudang-shan,北武当山,,山西省,2254,37.65,111.1,北武当山,province_mismatch;source_elevation_mismatch
bijia-shan-liaoning,笔架山,,辽宁省,78.3,40.8,121.05,笔架山,candidate_country_inconsistent;province_mismatch
broad-peak,布洛阿特峰,,新疆维吾尔自治区,8051,,,Broad Peak;布洛阿特峰,province_mismatch
bukadaban-feng,布喀达坂峰,,青海省,6860,36.05,90.9,布喀达坂峰,province_mismatch
caishi-ji,采石矶,,安徽省,131,31.65,118.45,采石矶,no_exact_peak_candidate_found
cang-shan,藏山,,山西省,1700,38.0167,113.4333,藏山,province_mismatch;source_elevation_missing
chaya-shan,嵖岈山,嵖岈山天磨峰,河南省,740,33.2,113.7,天磨峰;嵖岈山天磨峰;嵖岈山,no_exact_peak_candidate_found
dabai-shan,大白山,,黑龙江省,1528.7,51.5,123.7,大白山,candidate_country_inconsistent;province_mismatch
dabieshan-bodao-feng,大别山薄刀峰,,湖北省,1404.2,31.05,115.7,大别山薄刀峰,no_exact_peak_candidate_found
dadong-shan,大东山,,广东省,1452,24.9,112.7,大东山,province_mismatch;source_elevation_mismatch
dahong-shan,大洪山,,湖北省,1055,31.45,113.1,大洪山,province_mismatch
dajue-shan,大觉山,,江西省,1364,27.75,117.1,大觉山,coordinate_precision_below_4dp;source_elevation_missing
dalari-feng,打拉日峰,,西藏自治区,6777,28.35,90.4,打拉日峰,no_exact_peak_candidate_found
damao-shan,大茂山,,河北省,1898,38.8333,114.7,大茂山,candidate_country_inconsistent;province_mismatch;source_elevation_mismatch
daming-shan-guangxi,大明山,,广西壮族自治区,1760.4,23.3,108.55,大明山,province_mismatch;source_elevation_mismatch
daming-shan-zhejiang,大明山,,浙江省,1489.9,30.05,118.95,大明山,province_mismatch;source_elevation_mismatch
dangling-xiaqiangla,党岭夏羌拉,,四川省,5470,31,101.4,党岭夏羌拉,no_exact_peak_candidate_found
dangling-xiaqiangniea,党岭夏羌涅阿,,四川省,5260,31,101.4,党岭夏羌涅阿,no_exact_peak_candidate_found
danxiashan-bazhai,丹霞山巴寨,,广东省,619.2,25,113.75,丹霞山巴寨,no_exact_peak_candidate_found
daqing-shan,大青山主峰,,内蒙古自治区,2338,40.8,111.8,大青山主峰,coordinate_precision_below_4dp;source_elevation_missing
darong-shan,大容山,,广西壮族自治区,1275.6,22.85,110.2,大容山,source_elevation_missing
