"effective_canonical_key","山名","别名","省份","海拔_m","现有粗坐标_lat","现有粗坐标_lng","未解决原因"
"aerjin-shan","阿尔金山主峰","阿尔金山主峰","甘肃省","5828","39.35","94.1","coordinate_precision_below_3dp|original_displacement_over_150km"
"animaqing-feng","阿尼玛卿峰","阿尼玛卿峰","青海省","6282","34.8","99.4","no_external_candidate_found"
"bagong-shan","八公山","八公山","安徽省","241.2","32.6","116.8","original_displacement_over_150km|unrelated_province_same_name_risk|coordinate_precision_below_3dp"
"baima-xueshan-zhalaqueni-feng","白马雪山扎拉雀尼峰","白马雪山扎拉雀尼峰","云南省","5429","28.3","99","no_external_candidate_found"
"baizhang-ling","百丈岭","百丈岭","浙江省","1334","30.25","119","original_displacement_over_150km"
"beiling-shan","北灵山","北灵山","北京市","1922","39.9781","115.5028","original_displacement_over_150km|unrelated_province_same_name_risk"
"caishi-ji","采石矶","采石矶","安徽省","131","31.65","118.45","no_external_candidate_found"
"cang-shan","藏山","藏山","山西省","1700","38.0167","113.4333","original_displacement_over_150km|unrelated_province_same_name_risk"
"chaya-shan","嵖岈山","嵖岈山天磨峰|嵖岈山|天磨峰","河南省","740","33.2","113.7","no_external_candidate_found"
"dabai-shan","大白山","大白山","黑龙江省","1528.7","51.5","123.7","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"dabieshan-bodao-feng","大别山薄刀峰","大别山薄刀峰","湖北省","1404.2","31.05","115.7","no_external_candidate_found"
"dadong-shan","大东山","大东山","广东省","1452","24.9","112.7","original_displacement_over_150km|source_elevation_mismatch"
"dahong-shan","大洪山","大洪山","湖北省","1055","31.45","113.1","original_displacement_over_150km|source_elevation_mismatch"
"dalari-feng","打拉日峰","打拉日峰","西藏自治区","6777","28.35","90.4","no_external_candidate_found"
"damao-shan","大茂山","大茂山","河北省","1898","38.8333","114.7","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"daming-shan-zhejiang","大明山","大明山","浙江省","1489.9","30.05","118.95","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"dangling-xiaqiangla","党岭夏羌拉","党岭夏羌拉","四川省","5470","31","101.4","no_external_candidate_found"
"dangling-xiaqiangniea","党岭夏羌涅阿","党岭夏羌涅阿","四川省","5260","31","101.4","no_external_candidate_found"
"danxiashan-bazhai","丹霞山巴寨","丹霞山巴寨","广东省","619.2","25","113.75","no_external_candidate_found"
"daqing-shan","大青山主峰","大青山主峰","内蒙古自治区","2338","40.8","111.8","coordinate_precision_below_3dp|original_displacement_over_150km|unrelated_province_same_name_risk"
"dawagengza","达瓦更扎","达瓦更扎","四川省","3900","30.95","102.5","no_external_candidate_found"
"donghu-moshan","东湖磨山","东湖磨山","湖北省","118.3","30.55","114.4","no_external_candidate_found"
"duku-gonglu-route","独库公路沿线山峰","独库公路沿线山峰","新疆维吾尔自治区","3500","42.5","84.5","no_external_candidate_found"
"duri-feng","都日峰","都日峰","四川省","5437","32","103.8","coordinate_precision_below_3dp|original_displacement_over_150km|unrelated_province_same_name_risk"
"fenghuang-shan-heilongjiang","凤凰山","凤凰山","黑龙江省","1696.2","44.1","127.9","original_displacement_over_150km|unrelated_province_same_name_risk"
"gangpengqing-feng","岗彭庆峰","岗彭庆峰","西藏自治区","7299","28.5","85.6","coordinate_precision_below_3dp|unrelated_province_same_name_risk"
"gangrenboqi-cluster","冈仁波齐周边山峰","冈仁波齐|冈仁波齐周边山峰","西藏自治区","4000","31.05","81.3","no_external_candidate_found"
"gangshka-xuefeng","岗什卡雪峰","岗什卡雪峰","青海省","5254.5","37.7","101.5","no_external_candidate_found"
"gaoligongshan-gawagapu-feng","高黎贡山嘎娃嘎普峰","高黎贡山嘎娃嘎普峰","云南省","5128","28","98.6","no_external_candidate_found"
"gasherbrum-1-feng","加舒尔布鲁木I峰","加舒尔布鲁木I峰","新疆维吾尔自治区","8080","35.724925","76.697502","unrelated_province_same_name_risk"
"gasherbrum-2-feng","加舒尔布鲁木II峰","加舒尔布鲁木II峰","新疆维吾尔自治区","8035","35.759071","76.65375","unrelated_province_same_name_risk"
"genie-shan","格聂神山主峰","格聂神山主峰","四川省","6204","29.8","99.8","no_external_candidate_found"
"gongga-baihaizi-shan","白海子山主峰","白海子山主峰","四川省","5924","29.95","102","no_external_candidate_found"
"gongga-jiazi-feng","贡嘎嘉子峰","贡嘎嘉子峰","四川省","6540","29.75","101.85","no_external_candidate_found"
"gongga-leduomanyin-feng","贡嘎勒多曼因峰","贡嘎勒多曼因峰","四川省","6112","29.75","101.85","no_external_candidate_found"
"gongga-riwuqie-feng","贡嘎日乌且峰","贡嘎日乌且峰","四川省","6376","29.75","101.85","no_external_candidate_found"
"gongga-tianhaizi-shan","田海子山主峰","田海子山主峰","四川省","6070","29.95","102","no_external_candidate_found"
"gongga-xiaogongga-feng","贡嘎小贡嘎峰","贡嘎小贡嘎峰","四川省","5928","29.6","101.8","no_external_candidate_found"
"gua-shan","卦山","卦山","山西省","1142","37.5","112.1","original_displacement_over_150km|unrelated_province_same_name_risk"
"haba-xueshan","哈巴雪山主峰","哈巴雪山主峰","云南省","5396","27.6","100.1","no_external_candidate_found"
"hailaer-xishan","海拉尔西山国家森林公园主峰","海拉尔西山国家森林公园主峰","内蒙古自治区","664.2","49.2","119.7","no_external_candidate_found"
"heban-shan","鹤伴山","鹤伴山","山东省","728.8","36.8","117.6","no_external_candidate_found"
"heishan-gu","黑山谷","黑山谷","重庆市","1900","28.95","106.95","no_external_candidate_found"
"huangbai-shan","黄柏山主峰","黄柏山主峰","河南省","1352.6","31.45","115.3","no_external_candidate_found"
"huanggang-liang","黄岗梁","黄岗梁","内蒙古自治区","2029","43.5","117.5","coordinate_precision_below_3dp|unrelated_province_same_name_risk"
"huangshan-xihai-route","黄山西海大峡谷环线","黄山西海大峡谷环线","安徽省","1300","30.15","118.1333","no_external_candidate_found"
"huhe-bashige","呼和巴什格","呼和巴什格","内蒙古自治区","2364","40.95","106.4","coordinate_precision_below_3dp|unrelated_province_same_name_risk"
"huihang-gudao-route","徽杭古道沿线山峰","徽杭古道沿线山峰","浙江省","1000","30.2","118.8","no_external_candidate_found"
"huitengxile-huanghuagou","辉腾锡勒黄花沟主峰","辉腾锡勒黄花沟主峰","内蒙古自治区","2100","41.15","112.6","no_external_candidate_found"
"hutiaoxia-gaolu-route","虎跳峡高路徒步线","虎跳峡高路徒步线","云南省","1800","27.2","100","no_external_candidate_found"
"jiaer-mengcuo","甲尔猛措","甲尔猛措","四川省","4000","31.75","103.2","no_external_candidate_found"
"jiangsanglamu-feng","姜桑拉姆峰","姜桑拉姆峰","西藏自治区","6325","28.85","90.25","no_external_candidate_found"
"jiaozi-xueshan","轿子雪山","轿子雪山","云南省","4223","26.1","102.8","no_external_candidate_found"
"jietongsusong-feng","解同速松峰","解同速松峰","西藏自治区","6240","28.4","90.6","no_external_candidate_found"
"jinyun-shan","缙云山","缙云山","重庆市","951","29.85","106.35","no_external_candidate_found"
"jiuwan-shan","九万山","九万山","广西壮族自治区","1693","25.35","108.7","no_external_candidate_found"
"kulagangri-feng","库拉岗日峰","库拉岗日峰","西藏自治区","7538","28.25","90.6","no_external_candidate_found"
"liang-shan-shandong","水泊梁山","水泊梁山","山东省","197.9","35.8","116.1","no_external_candidate_found"
"lishan-shunwang-ping","历山舜王坪","历山舜王坪","山西省","2358","35.35","111.9","no_external_candidate_found"
"liuding-shan","六鼎山","六鼎山","吉林省","803.6","43.4","128.3","original_displacement_over_150km"
"loushan-guan","娄山关","娄山关","贵州省","1576","27.95","106.8","no_external_candidate_found"
"lushan-shandong","鲁山主峰","鲁山主峰","山东省","1108.3","36.35","117.8","original_displacement_over_150km|unrelated_province_same_name_risk"
"luzi-feng","鲁孜峰","鲁孜峰","西藏自治区","6154","30.3","90.5","no_external_candidate_found"
"manhan-shan","蛮汉山","蛮汉山","内蒙古自治区","2304.5","40.55","112.4","no_external_candidate_found"
"maya-xueshan","马牙雪山","马牙雪山","甘肃省","4447","37.2","102.8","no_external_candidate_found"
"mengdagangri-feng","蒙达岗日峰","蒙达岗日峰","西藏自治区","6426","28.45","90.65","no_external_candidate_found"
"namunani-feng","纳木那尼峰","纳木那尼峰","西藏自治区","7694","30.45","81.35","unrelated_province_same_name_risk"
"nangong-shan","南宫山","南宫山","陕西省","2267.4","32.15","108.95","no_external_candidate_found"
"nanhuang-gudao-route","南黄古道沿线山峰","南黄古道沿线山峰","浙江省","800","29.05","120.3","no_external_candidate_found"
"nankun-shan","南昆山","南昆山","广东省","1228","23.6","113.8","no_external_candidate_found"
"nanyandang-shan","南雁荡山","南雁荡山","浙江省","1124","27.65","120.15","coordinate_precision_below_3dp"
"nianbaoyuze","年保玉则","年保玉则","青海省","5369","33.28","101.14","no_external_candidate_found"
"putuoshan-foding-shan","普陀山佛顶山","普陀山佛顶山","浙江省","291.3","30","122.35","no_external_candidate_found"
"qianling-shan","黔灵山","黔灵山","贵州省","1396","26.6","106.7","coordinate_precision_below_3dp|original_displacement_over_150km"
"qilianshan-tuanjie-feng","祁连山团结峰","祁连山团结峰","甘肃省","5808","38.5","97.7","no_external_candidate_found"
"qingchengshan-laojun-ge","青城山老君阁","青城山老君阁","四川省","1260","30.9","103.5","no_external_candidate_found"
"qinghaihu-nanshan","青海湖南山","青海湖南山","青海省","3500","36.6","100.5","no_external_candidate_found"
"qingyun-shan-fujian","青云山","青云山","福建省","1130","25.85","118.95","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"qiongmugangri-feng","穷母岗日峰","穷母岗日峰","西藏自治区","7048","29.95","90.15","no_external_candidate_found"
